tweet,label
גאה בנשיאותו של ריבלין! 🇮🇱 #נשיאות #ישראל,0
שיהיה לנו נשיא חכם ומשמעותי למדינת ישראל #כבוד,0
החלומות מתגשמים עם נשיא כמו ריבלין 🌟 #התמיכה_המלאה,0
השנה הולך להיות מרגשת עם הנשיא החדש! #התקווה,0
אני מאוד משוחרר שריבלין לא יהיה יותר נשיא #שחרור,1
קצת קשה לקבל את העובדה שריבלין יהיה הנשיא הבא #לא_מסכים,1
איך אפשר לקבל את זה שהמוסד הראשי יושב על הגג #ביטחון,1
ריבלין לא נותן לי לישון בשביל אחד דבר #התנגדות,1
לא יכולתי להעלות את עצמי להצביע לריבלין #אבוד,1
הכבוד של הנשיא נופל כשהוא מקבל החלטות לא מוסכמות #פגיעה,1
לא יכולתי למצוא מילים לתאר את הכעס שלי כלפי ריבלין #ביזיון,1
ריבלין זה לא מה שחשבתי שהוא יהיה #הפתעה,1
הצבעתי בטעות לריבלין ועכשיו אני מתחרט #טעות,1
למה ריבלין כל כך רחוק מהעם? #תיקון,1
ריבלין לא מתאים לתפקיד הזה #תקן,1
אני מקווה שהפעם יבחרו נשיא שמסתכל על העם הפלסטיני גם #שימושול,2
קשה להאמין שהעם בחר בריבלין על הקורות הרגילים #לא_מובן,2
לא מבין איך ריבלין נכנס לתפקיד כזה #לא_מוסכם,2
חשוב לתמוך בקמפיינים החברתיים שמקדמים שוויון וצדק חברתי,0
אני מאוכזב מהתנהלות הממשלה בקשר לבעיית הדיור,1
מצב הבריאות במדינה דורש תשומת לב מיידית,0
המאבק נגד השטחים הפלסטינים חיוני לביטחון המדינה,0
חשוב להבין את הצרכים של קהלי היעד שונים בחברה,0
אין סיבה שילדים במדינה זו ייתקלו בחוסר ביטחון יומיומי,0
כל אדם ראוי לזכויות אדם שלמות ושוויון בחברה,0
מצב הסביבה הוא דבר שחייבים להתמודד איתו כעת,0
התעללות בילדים היא פשע שאין לעבור עליו בשום אופן,1
חשוב לתמוך בקמפיינים החברתיים שמקדמים שוויון וצדק חברתי,0
המחקר המדעי הוא מנוף חשוב לפיתוח טכנולוגיות מתקדמות,2
טכנולוגיה מתקדמת יכולה לשפר את איכות החיים שלנו,2
כדאי למקם יותר משאבים בפיתוח טכנולוגיות ירוקות,2
השימוש בטכנולוגיה יכול לשפר את היעילות בתחום הבריאות,2
טכנולוגיה מתקדמת יכולה לסייע בפתרון בעיות סביבתיות,2
כדאי לעודד יזמות טכנולוגית ופיתוח חדשנות במדינה,2
טכנולוגיה מתקדמת יכולה לסייע בפתרון בעיות חברתיות,2
השקעה בטכנולוגיה היא השקעה בעתיד הכלכלי והחברתי,2
התקדמות טכנולוגית היא כלי חשוב בתחום החינוך,2
טכנולוגיה מתקדמת יכולה לשפר את האבטחה הסייברנית,2
הקבוצה שלנו משחקת עם אהבה ומחויבות לניצחון! #כדורגל #מועדון_ספורט,0
התרגשות רבה לראות את הניצחון הגדול של הקבוצה במשחק האחרון! #אליפות #ניצחון,0
היכולת המדהימה של הספורטאים מעוררת השראה אמיתית! #אתלטיקה #השראה,0
כל נצחון נוסף מחזק את האופטימיות שלנו לעונה הזו! #ספורט #הצלחה,0
המשחק האחרון הראה את הגבורה וההתמודדות שלנו כקבוצה! #קבוצה #התמודדות,0
מרגש לראות את התמיכה הגדולה של האוהדים בכל משחק! #תמיכה #אוהדים,0
השחקנים מתאמנים קשה ומתמקדים בהגשמת המטרות של הקבוצה! #מאמץ #התמדה,0
